CCAA,date,cases,ccaa
CN,2020-03-04,14,Canarias
CT,2020-03-04,148,Cataluña
EX,2020-03-04,9,Extremadura
GA,2020-03-04,14,Galicia
IB,2020-03-04,5,Baleares
MC,2020-03-04,11,Murcia
MD,2020-03-04,462,Madrid
ML,2020-03-04,0,Melilla
NC,2020-03-04,22,Navarra
PV,2020-03-04,68,País Vasco
RI,2020-03-04,25,La Rioja
VC,2020-03-04,37,C. Valenciana
AN,2020-03-05,61,Andalucía
AR,2020-03-05,10,Aragón
AS,2020-03-05,5,Asturias
CB,2020-03-05,0,Cantabria
CE,2020-03-05,1,Ceuta
CL,2020-03-05,55,CyL
CM,2020-03-05,79,CLM
CN,2020-03-05,16,Canarias
CT,2020-03-05,174,Cataluña
EX,2020-03-05,6,Extremadura
GA,2020-03-05,19,Galicia
IB,2020-03-05,12,Baleares
MC,2020-03-05,14,Murcia
MD,2020-03-05,649,Madrid
ML,2020-03-05,1,Melilla
NC,2020-03-05,28,Navarra
PV,2020-03-05,75,País Vasco
RI,2020-03-05,27,La Rioja
VC,2020-03-05,56,C. Valenciana
AN,2020-03-06,73,Andalucía
AR,2020-03-06,15,Aragón
AS,2020-03-06,12,Asturias
CB,2020-03-06,9,Cantabria
CE,2020-03-06,0,Ceuta
CL,2020-03-06,57,CyL
CM,2020-03-06,105,CLM
CN,2020-03-06,25,Canarias
CT,2020-03-06,269,Cataluña
EX,2020-03-06,20,Extremadura
GA,2020-03-06,26,Galicia
IB,2020-03-06,10,Baleares
MC,2020-03-06,13,Murcia
MD,2020-03-06,786,Madrid
ML,2020-03-06,1,Melilla
NC,2020-03-06,26,Navarra
PV,2020-03-06,81,País Vasco
RI,2020-03-06,45,La Rioja
VC,2020-03-06,78,C. Valenciana
AN,2020-03-07,77,Andalucía
AR,2020-03-07,21,Aragón
AS,2020-03-07,12,Asturias
CB,2020-03-07,12,Cantabria
CE,2020-03-07,0,Ceuta
CL,2020-03-07,83,CyL
CM,2020-03-07,144,CLM
CN,2020-03-07,19,Canarias
CT,2020-03-07,293,Cataluña
EX,2020-03-07,16,Extremadura
GA,2020-03-07,33,Galicia
IB,2020-03-07,7,Baleares
MC,2020-03-07,20,Murcia
MD,2020-03-07,839,Madrid
ML,2020-03-07,3,Melilla
NC,2020-03-07,49,Navarra
PV,2020-03-07,92,País Vasco
RI,2020-03-07,39,La Rioja
VC,2020-03-07,80,C. Valenciana
AN,2020-03-08,87,Andalucía
AR,2020-03-08,36,Aragón
AS,2020-03-08,14,Asturias
CB,2020-03-08,17,Cantabria
CE,2020-03-08,1,Ceuta
CL,2020-03-08,80,CyL
CM,2020-03-08,163,CLM
CN,2020-03-08,35,Canarias
CT,2020-03-08,331,Cataluña
EX,2020-03-08,19,Extremadura
GA,2020-03-08,38,Galicia
IB,2020-03-08,14,Baleares
MC,2020-03-08,19,Murcia
MD,2020-03-08,1051,Madrid
ML,2020-03-08,1,Melilla
NC,2020-03-08,51,Navarra
PV,2020-03-08,101,País Vasco
RI,2020-03-08,41,La Rioja
VC,2020-03-08,118,C. Valenciana
AN,2020-03-09,169,Andalucía
AR,2020-03-09,36,Aragón
AS,2020-03-09,32,Asturias
CB,2020-03-09,9,Cantabria
CE,2020-03-09,1,Ceuta
CL,2020-03-09,167,CyL
CM,2020-03-09,215,CLM
CN,2020-03-09,46,Canarias
CT,2020-03-09,567,Cataluña
EX,2020-03-09,38,Extremadura
GA,2020-03-09,83,Galicia
IB,2020-03-09,17,Baleares
MC,2020-03-09,32,Murcia
MD,2020-03-09,1511,Madrid
ML,2020-03-09,2,Melilla
NC,2020-03-09,97,Navarra
PV,2020-03-09,143,País Vasco
RI,2020-03-09,60,La Rioja
VC,2020-03-09,188,C. Valenciana
AN,2020-03-10,221,Andalucía
AR,2020-03-10,52,Aragón
AS,2020-03-10,52,Asturias
CB,2020-03-10,3,Cantabria
CE,2020-03-10,1,Ceuta
CL,2020-03-10,213,CyL
CM,2020-03-10,302,CLM
CN,2020-03-10,56,Canarias
CT,2020-03-10,797,Cataluña
EX,2020-03-10,47,Extremadura
GA,2020-03-10,119,Galicia
IB,2020-03-10,36,Baleares
MC,2020-03-10,64,Murcia
MD,2020-03-10,1973,Madrid
ML,2020-03-10,5,Melilla
NC,2020-03-10,109,Navarra
PV,2020-03-10,227,País Vasco
RI,2020-03-10,88,La Rioja
VC,2020-03-10,306,C. Valenciana
AN,2020-03-11,263,Andalucía
AR,2020-03-11,66,Aragón
AS,2020-03-11,43,Asturias
CB,2020-03-11,17,Cantabria
CE,2020-03-11,3,Ceuta
CL,2020-03-11,254,CyL
CM,2020-03-11,330,CLM
CN,2020-03-11,60,Canarias
CT,2020-03-11,760,Cataluña
EX,2020-03-11,74,Extremadura
GA,2020-03-11,132,Galicia
IB,2020-03-11,42,Baleares
MC,2020-03-11,74,Murcia
MD,2020-03-11,1964,Madrid
ML,2020-03-11,4,Melilla
NC,2020-03-11,130,Navarra
PV,2020-03-11,227,País Vasco
RI,2020-03-11,70,La Rioja
VC,2020-03-11,294,C. Valenciana
AN,2020-03-12,318,Andalucía
AR,2020-03-12,79,Aragón
AS,2020-03-12,57,Asturias
CB,2020-03-12,36,Cantabria
CE,2020-03-12,1,Ceuta
CL,2020-03-12,344,CyL
CM,2020-03-12,461,CLM
CN,2020-03-12,73,Canarias
CT,2020-03-12,1030,Cataluña
EX,2020-03-12,88,Extremadura
GA,2020-03-12,181,Galicia
IB,2020-03-12,42,Baleares
MC,2020-03-12,62,Murcia
MD,2020-03-12,2332,Madrid
ML,2020-03-12,3,Melilla
NC,2020-03-12,182,Navarra
PV,2020-03-12,272,País Vasco
RI,2020-03-12,74,La Rioja
VC,2020-03-12,391,C. Valenciana
AN,2020-03-13,487,Andalucía
AR,2020-03-13,114,Aragón
