country,iso,pop,region,sub_region
Grenada,GRD,111454,Americas,Latin America and the Caribbean
Greenland,GRL,56025,Americas,Northern America
Guatemala,GTM,17247807,Americas,Latin America and the Caribbean
Guam,GUM,165768,Oceania,Micronesia
Guyana,GUY,779004,Americas,Latin America and the Caribbean
High income,HIC,1210312147,NA,NA
"Hong Kong SAR, China",HKG,7451000,Asia,Eastern Asia
Honduras,HND,9587522,Americas,Latin America and the Caribbean
Heavily indebted poor countries (HIPC),HPC,780234406,NA,NA
Croatia,HRV,4089400,Europe,Southern Europe
Haiti,HTI,11123176,Americas,Latin America and the Caribbean
Hungary,HUN,9768785,Europe,Eastern Europe
IBRD only,IBD,4772284113,NA,NA
IDA & IBRD total,IBT,6412522234,NA,NA
IDA total,IDA,1640238121,NA,NA
IDA blend,IDB,555830605,NA,NA
Indonesia,IDN,267663435,Asia,South-eastern Asia
IDA only,IDX,1084407516,NA,NA
Isle of Man,IMN,84077,Europe,Northern Europe
India,IND,1352617328,Asia,Southern Asia
Not classified,INX,NA,NA,NA
Ireland,IRL,4853506,Europe,Northern Europe
"Iran, Islamic Rep.",IRN,81800269,Asia,Southern Asia
Iraq,IRQ,38433600,Asia,Western Asia
Iceland,ISL,353574,Europe,Northern Europe
Israel,ISR,8883800,Asia,Western Asia
Italy,ITA,60431283,Europe,Southern Europe
Jamaica,JAM,2934855,Americas,Latin America and the Caribbean
Jordan,JOR,9956011,Asia,Western Asia
Japan,JPN,126529100,Asia,Eastern Asia
Kazakhstan,KAZ,18276499,Asia,Central Asia
Kenya,KEN,51393010,Africa,Sub-Saharan Africa
Kyrgyz Republic,KGZ,6315800,Asia,Central Asia
Cambodia,KHM,16249798,Asia,South-eastern Asia
Kiribati,KIR,115847,Oceania,Micronesia
St. Kitts and Nevis,KNA,52441,Americas,Latin America and the Caribbean
"Korea, Rep.",KOR,51635256,Asia,Eastern Asia
Kuwait,KWT,4137309,Asia,Western Asia
Latin America & Caribbean (excluding high income),LAC,609013934,NA,NA
Lao PDR,LAO,7061507,Asia,South-eastern Asia
Lebanon,LBN,6848925,Asia,Western Asia
Liberia,LBR,4818977,Africa,Sub-Saharan Africa
Libya,LBY,6678567,Africa,Northern Africa
St. Lucia,LCA,181889,Americas,Latin America and the Caribbean
Latin America & Caribbean,LCN,641357515,NA,NA
Least developed countries: UN classification,LDC,1009662578,NA,NA
Low income,LIC,705417321,NA,NA
Liechtenstein,LIE,37910,Europe,Western Europe
Sri Lanka,LKA,21670000,Asia,Southern Asia
Lower middle income,LMC,3022905169,NA,NA
Low & middle income,LMY,6383958209,NA,NA
Lesotho,LSO,2108132,Africa,Sub-Saharan Africa
Late-demographic dividend,LTE,2288665963,NA,NA
Lithuania,LTU,2789533,Europe,Northern Europe
Luxembourg,LUX,607728,Europe,Western Europe
Latvia,LVA,1926542,Europe,Northern Europe
