TipusCasData,RegioSanitariaCodi,RegioSanitariaDescripcio,EdatRang,SexeCodi,SexeDescripcio,TipusCasDescripcio,NumCasos
09/03/2020,64,Girona,0-9,0,Home,Sospitós,1
09/03/2020,64,Girona,40-49,1,Dona,Sospitós,2
09/03/2020,62,Camp de Tarragona,50-59,0,Home,Sospitós,1
09/03/2020,67,Catalunya Central,30-39,1,Dona,Positiu,1
09/03/2020,64,Girona,60-69,1,Dona,Sospitós,1
09/03/2020,62,Camp de Tarragona,60-69,0,Home,Sospitós,1
09/03/2020,78,Barcelona,70-79,1,Dona,Sospitós,4
09/03/2020,78,Barcelona,60-69,1,Dona,Positiu,1
09/03/2020,78,Barcelona,40-49,0,Home,Sospitós,6
09/03/2020,64,Girona,40-49,1,Dona,Positiu,1
09/03/2020,67,Catalunya Central,30-39,0,Home,Sospitós,1
09/03/2020,62,Camp de Tarragona,20-29,1,Dona,Sospitós,1
09/03/2020,64,Girona,50-59,1,Dona,Sospitós,2
09/03/2020,62,Camp de Tarragona,60-69,1,Dona,Sospitós,1
09/03/2020,67,Catalunya Central,70-79,0,Home,Sospitós,1
09/03/2020,78,Barcelona,80-89,1,Dona,Positiu,1
09/03/2020,78,Barcelona,40-49,1,Dona,Sospitós,10
09/03/2020,64,Girona,70-79,0,Home,Sospitós,3
09/03/2020,78,Barcelona,40-49,0,Home,Positiu,1
09/03/2020,78,Barcelona,90+,1,Dona,Sospitós,5
09/03/2020,78,Barcelona,70-79,0,Home,Sospitós,11
09/03/2020,62,Camp de Tarragona,80-89,0,Home,Sospitós,1
09/03/2020,78,Barcelona,20-29,1,Dona,Sospitós,9
09/03/2020,62,Camp de Tarragona,10-19,0,Home,Sospitós,1
09/03/2020,78,Barcelona,60-69,1,Dona,Sospitós,3
09/03/2020,78,Barcelona,80-89,0,Home,Positiu,1
09/03/2020,64,Girona,30-39,0,Home,Sospitós,1
09/03/2020,78,Barcelona,20-29,0,Home,Sospitós,7
09/03/2020,78,Barcelona,50-59,1,Dona,Positiu,3
09/03/2020,67,Catalunya Central,80-89,0,Home,Sospitós,1
09/03/2020,78,Barcelona,80-89,1,Dona,Sospitós,4
09/03/2020,64,Girona,30-39,1,Dona,Sospitós,2
09/03/2020,78,Barcelona,10-19,0,Home,Sospitós,2
09/03/2020,78,Barcelona,0-9,1,Dona,Sospitós,2
09/03/2020,63,Terres de l'Ebre,80-89,0,Home,Sospitós,1
09/03/2020,67,Catalunya Central,40-49,0,Home,Sospitós,1
09/03/2020,62,Camp de Tarragona,30-39,1,Dona,Sospitós,2
09/03/2020,78,Barcelona,30-39,0,Home,Sospitós,5
09/03/2020,78,Barcelona,50-59,1,Dona,Sospitós,5
09/03/2020,63,Terres de l'Ebre,70-79,0,Home,Sospitós,1
09/03/2020,78,Barcelona,90+,0,Home,Sospitós,2
09/03/2020,62,Camp de Tarragona,20-29,0,Home,Sospitós,1
09/03/2020,78,Barcelona,50-59,0,Home,Positiu,2
09/03/2020,78,Barcelona,30-39,1,Dona,Sospitós,7
09/03/2020,64,Girona,10-19,1,Dona,Sospitós,2
09/03/2020,62,Camp de Tarragona,40-49,0,Home,Sospitós,1
09/03/2020,78,Barcelona,50-59,0,Home,Sospitós,6
09/03/2020,67,Catalunya Central,20-29,1,Dona,Sospitós,1
09/03/2020,62,Camp de Tarragona,40-49,1,Dona,Sospitós,1
09/03/2020,78,Barcelona,70-79,0,Home,Positiu,3
09/03/2020,64,Girona,40-49,0,Home,Sospitós,1
09/03/2020,00,No classificat,50-59,0,Home,Sospitós,1
10/03/2020,78,Barcelona,60-69,1,Dona,Positiu,1
10/03/2020,78,Barcelona,60-69,0,Home,Sospitós,8
10/03/2020,78,Barcelona,60-69,0,Home,Positiu,5
10/03/2020,78,Barcelona,50-59,0,Home,Positiu,4
10/03/2020,78,Barcelona,90+,1,Dona,Sospitós,4
10/03/2020,78,Barcelona,20-29,0,Home,Positiu,3
10/03/2020,78,Barcelona,20-29,1,Dona,Sospitós,12
10/03/2020,78,Barcelona,30-39,1,Dona,Sospitós,22
10/03/2020,78,Barcelona,70-79,1,Dona,Sospitós,5
10/03/2020,78,Barcelona,80-89,1,Dona,Sospitós,7
10/03/2020,78,Barcelona,70-79,0,Home,Sospitós,4
10/03/2020,78,Barcelona,40-49,1,Dona,Sospitós,12
10/03/2020,78,Barcelona,0-9,1,Dona,Positiu,1
10/03/2020,78,Barcelona,40-49,0,Home,Sospitós,4
10/03/2020,78,Barcelona,50-59,1,Dona,Sospitós,17
10/03/2020,78,Barcelona,0-9,0,Home,Sospitós,8
10/03/2020,67,Catalunya Central,50-59,0,Home,Sospitós,2
10/03/2020,78,Barcelona,90+,0,Home,Sospitós,6
10/03/2020,62,Camp de Tarragona,80-89,1,Dona,Sospitós,1
10/03/2020,61,Lleida,70-79,0,Home,Sospitós,1
10/03/2020,67,Catalunya Central,40-49,1,Dona,Sospitós,1
