TipusCasData,RegioSanitariaCodi,RegioSanitariaDescripcio,EdatRang,SexeCodi,SexeDescripcio,TipusCasDescripcio,NumCasos,date
15/05/2020,7803,Barcelona Ciutat,60-69,1,Dona,Sospitós,61,2020-05-15
15/05/2020,7803,Barcelona Ciutat,30-39,1,Dona,Positiu,2,2020-05-15
15/05/2020,7802,Metropolità Nord,40-49,1,Dona,Positiu,1,2020-05-15
15/05/2020,7802,Metropolità Nord,0-9,1,Dona,Sospitós,8,2020-05-15
15/05/2020,7802,Metropolità Nord,10-19,1,Dona,Sospitós,29,2020-05-15
15/05/2020,6200,Camp de Tarragona,40-49,0,Home,Sospitós,8,2020-05-15
15/05/2020,6100,Lleida,30-39,1,Dona,Positiu,1,2020-05-15
15/05/2020,6400,Girona,0-9,0,Home,Sospitós,2,2020-05-15
15/05/2020,6700,Catalunya Central,60-69,1,Dona,Sospitós,18,2020-05-15
15/05/2020,7801,Metropolità Sud,40-49,0,Home,Sospitós,39,2020-05-15
15/05/2020,6700,Catalunya Central,50-59,1,Dona,Sospitós,23,2020-05-15
15/05/2020,6300,Terres de l'Ebre,90+,0,Home,Sospitós,1,2020-05-15
15/05/2020,6200,Camp de Tarragona,50-59,1,Dona,Sospitós,8,2020-05-15
15/05/2020,6100,Lleida,20-29,0,Home,Positiu,3,2020-05-15
15/05/2020,7802,Metropolità Nord,70-79,0,Home,Positiu,1,2020-05-15
15/05/2020,7801,Metropolità Sud,40-49,0,Home,Positiu,5,2020-05-15
15/05/2020,6400,Girona,70-79,0,Home,Sospitós,35,2020-05-15
15/05/2020,7801,Metropolità Sud,90+,0,Home,Sospitós,6,2020-05-15
15/05/2020,6200,Camp de Tarragona,80-89,0,Home,Sospitós,1,2020-05-15
15/05/2020,6100,Lleida,60-69,0,Home,Sospitós,14,2020-05-15
15/05/2020,0000,No classificat,10-19,1,Dona,Sospitós,1,2020-05-15
15/05/2020,6300,Terres de l'Ebre,50-59,0,Home,Sospitós,1,2020-05-15
15/05/2020,7801,Metropolità Sud,60-69,0,Home,Sospitós,40,2020-05-15
15/05/2020,6100,Lleida,50-59,1,Dona,Sospitós,15,2020-05-15
15/05/2020,7803,Barcelona Ciutat,40-49,1,Dona,Sospitós,102,2020-05-15
15/05/2020,6100,Lleida,20-29,1,Dona,Positiu,1,2020-05-15
15/05/2020,6400,Girona,30-39,0,Home,Sospitós,21,2020-05-15
15/05/2020,7803,Barcelona Ciutat,10-19,1,Dona,Sospitós,13,2020-05-15
15/05/2020,7801,Metropolità Sud,80-89,0,Home,Sospitós,24,2020-05-15
15/05/2020,7802,Metropolità Nord,30-39,1,Dona,Positiu,1,2020-05-15
15/05/2020,7100,Alt Pirineu i Aran,0-9,0,Home,Sospitós,4,2020-05-15
15/05/2020,6300,Terres de l'Ebre,10-19,0,Home,Sospitós,1,2020-05-15
15/05/2020,7803,Barcelona Ciutat,40-49,1,Dona,Positiu,2,2020-05-15
15/05/2020,6200,Camp de Tarragona,20-29,1,Dona,Sospitós,5,2020-05-15
15/05/2020,7100,Alt Pirineu i Aran,80-89,0,Home,Sospitós,3,2020-05-15
15/05/2020,7802,Metropolità Nord,80-89,0,Home,Sospitós,27,2020-05-15
15/05/2020,6700,Catalunya Central,60-69,0,Home,Sospitós,14,2020-05-15
